[Line 1] heheh enjoy my tyler...
[Line 3] [Output:5553]: [PART] Workspace.Camera.WindPart | Size: 600, 150, 2
[Line 28030] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.ShopFrame.JewelFrame.SelectedItem.View.Figure.LeftUpperLeg | Size: 0.6673920750617981, 1.3174556493759155, 0.8240074515342712
[Line 28031] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.ShopFrame.JewelFrame.SelectedItem.View.Figure.RightUpperLeg | Size: 0.6673920750617981, 1.3174556493759155, 0.8240075707435608
[Line 28033] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.SellFrame.SumFrame.SelectedItem.View.Figure.Head | Size: 2, 1, 1
[Line 28034] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.SellFrame.SumFrame.SelectedItem.View.Figure.UpperTorso | Size: 1.9974559545516968, 1.837510585784912, 1.1106884479522705
[Line 28035] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.SellFrame.SumFrame.SelectedItem.View.Figure.LowerTorso | Size: 1.6519598960876465, 0.5001040697097778, 0.9984074234962463
[Line 28036] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.SellFrame.SumFrame.SelectedItem.View.Figure.RightLowerArm | Size: 0.8137836456298828, 0.9094314575195312, 0.8621160984039307
[Line 28037] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.SellFrame.SumFrame.SelectedItem.View.Figure.RightHand | Size: 0.7627725601196289, 0.9388239979743958, 0.7475496530532837
[Line 28038] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.SellFrame.SumFrame.SelectedItem.View.Figure.LeftUpperArm | Size: 0.6641272306442261, 1.0686529874801636, 0.8128907680511475
[Line 28039] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.SellFrame.SumFrame.SelectedItem.View.Figure.LeftLowerArm | Size: 0.8137837648391724, 0.9094315767288208, 0.8621159791946411
[Line 28040] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.SellFrame.SumFrame.SelectedItem.View.Figure.LeftHand | Size: 0.7627726793289185, 0.9388239979743958, 0.7475496530532837
[Line 28041] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.SellFrame.SumFrame.SelectedItem.View.Figure.LeftLowerLeg | Size: 0.710610032081604, 0.9041048288345337, 0.8819679617881775
[Line 28042] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.SellFrame.SumFrame.SelectedItem.View.Figure.LeftUpperLeg | Size: 0.6673920750617981, 1.3174556493759155, 0.8240074515342712
[Line 28043] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.SellFrame.SumFrame.SelectedItem.View.Figure.RightFoot | Size: 0.7912907004356384, 0.4485623836517334, 1.1945918798446655
[Line 28044] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.SellFrame.SumFrame.SelectedItem.View.Figure.RightUpperLeg | Size: 0.6673920750617981, 1.3174556493759155, 0.8240075707435608
[Line 28045] [Output:5553]: [PART] ReplicatedStorage.RS.UI.ShopGui.Frame.SellFrame.SumFrame.SelectedItem.View.CF | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 28046] [Output:5553]: [PART] ReplicatedStorage.RS.UI.Crafting.CraftingHandler.Item.Button.View.CF | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 28047] [Output:5553]: [PART] ReplicatedStorage.RS.UI.Crafting.CraftingHandler.Slot.Button.View.CF | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 28048] [Output:5553]: [PART] ReplicatedStorage.RS.UI.GreaseGui.GreaseHandler.Item.Button.View.CF | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 28049] [Output:5553]: [PART] ReplicatedStorage.RS.UI.FleetLog.FleetLogHandler.Item.Button.View.CF | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 28050] [Output:5553]: [PART] ReplicatedStorage.RS.UI.LostKnowledgeGui.LKHandler.Item.Button.View.CF | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 28051] [Output:5553]: [PART] ReplicatedStorage.RS.UI.PouchInsertGui.PouchInsertHandler.Item.Button.View.CF | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 28052] [Output:5553]: [PART] ReplicatedStorage.RS.UI.RepairKitGui.RKHandler.Item.Button.View.CF | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 28093] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Wick | Size: 0.5999999642372131, 0.20000000298023224, 0.20000000298023224
[Line 28094] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Frame | Size: 2.60003662109375, 1.500244140625, 1.500091552734375
[Line 28095] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28096] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28097] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28098] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Part | Size: 8, 0.5, 0.5
[Line 28099] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28100] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28101] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Frame | Size: 2.60003662109375, 1.500244140625, 1.500091552734375
[Line 28102] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Part | Size: 8, 0.5, 0.5
[Line 28103] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28104] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28105] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28106] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28107] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Frame | Size: 2.60003662109375, 1.500244140625, 1.500091552734375
[Line 28108] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Wick | Size: 0.5999999642372131, 0.20000000298023224, 0.20000000298023224
[Line 28109] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28110] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28111] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28112] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Frame | Size: 2.60003662109375, 1.500244140625, 1.500091552734375
[Line 28113] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Wick | Size: 0.5999999642372131, 0.20000000298023224, 0.20000000298023224
[Line 28114] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28115] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28116] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Frame | Size: 2.60003662109375, 1.500244140625, 1.500091552734375
[Line 28117] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28118] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Frame | Size: 2.60003662109375, 1.500244140625, 1.500091552734375
[Line 28119] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28120] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Screen | Size: 1.7000000476837158, 0.9000000357627869, 0.09999992698431015
[Line 28121] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Lanternpost.Part | Size: 8, 0.5, 0.5
[Line 28122] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Fragmentable | Size: 78, 2, 0.4000000059604645
[Line 28123] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Fragmentable | Size: 5, 2, 2
[Line 28124] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Fragmentable | Size: 78, 2, 0.4000000059604645
[Line 28125] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Fragmentable | Size: 118.5, 2, 2
[Line 28126] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Bridge.Fragmentable | Size: 118.5, 2, 2
[Line 28127] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 0.30000001192092896, 0.30000001192092896, 1.3999996185302734
[Line 28128] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 0.20000000298023224, 0.20000000298023224, 33.70000076293945
[Line 28129] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 2, 2.5, 2.5
[Line 28130] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 0.30000001192092896, 0.30000001192092896, 20.5
[Line 28131] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 10.300000190734863, 1.5, 1
[Line 28132] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 0.5, 0.5, 0.5999996066093445
[Line 28133] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 20, 2, 2
[Line 28134] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Hook | Size: 1.4029144048690796, 1.955470085144043, 0.10235085338354111
[Line 28135] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 5.300000190734863, 0.5, 0.5
[Line 28136] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 10, 1.5, 1.5
[Line 28137] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 5.300000190734863, 0.5, 0.5
[Line 28138] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 0.30000001192092896, 2.4000000953674316, 2.4000000953674316
[Line 28139] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 0.30000001192092896, 2.4000000953674316, 2.4000000953674316
[Line 28140] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 6, 3, 3
[Line 28141] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 4, 3, 3
[Line 28142] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 0.30000001192092896, 2.4000000953674316, 2.4000000953674316
[Line 28143] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 0.30000001192092896, 2.4000000953674316, 2.4000000953674316
[Line 28144] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 10.399999618530273, 1, 1
[Line 28145] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 5.300000190734863, 1.5, 1
[Line 28146] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 16, 1, 16
[Line 28147] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 34.29999923706055, 1.5, 1
[Line 28148] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 0.4999999701976776, 7.400000095367432, 7.400000095367432
[Line 28149] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 0.30000001192092896, 2.4000000953674316, 2.4000000953674316
[Line 28150] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 5.300000190734863, 0.5, 0.5
[Line 28151] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 26.799999237060547, 0.6000000238418579, 0.6000000238418579
[Line 28152] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 18, 1.2000000476837158, 1.2000000476837158
[Line 28153] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 0.4999999701976776, 7.400000095367432, 7.400000095367432
[Line 28154] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 9, 0.5, 0.5
[Line 28155] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.Crane.Part | Size: 2, 7, 7
[Line 28156] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.RFWheat1.Part | Size: 40, 1, 19
[Line 28157] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.RFWheat1.Part | Size: 18, 1, 21
[Line 28158] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.RFWheat1.Part | Size: 25, 1, 33
[Line 28159] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.RFWheat1.Part | Size: 32, 1, 33
[Line 28160] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.RFWheat2.Part | Size: 44, 2, 47
[Line 28161] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.RFWheat2.Part | Size: 54, 2, 48
[Line 28162] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Campfire.Part | Size: 5, 1, 1
[Line 28163] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Campfire.Part | Size: 5, 1, 1
[Line 28164] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Campfire.Fire | Size: 4, 2, 4
[Line 28165] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Campfire.Part | Size: 5, 1, 1
[Line 28166] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Campfire.Part | Size: 5, 1, 1
[Line 28167] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Campfire.Part | Size: 5, 1, 1
[Line 28168] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Campfire.FirePart | Size: 7, 4, 7
[Line 28169] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Farmland.Part | Size: 3, 0.20000000298023224, 31
[Line 28170] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Farmland.Part | Size: 3, 0.20000000298023224, 31
[Line 28171] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Farmland.Part | Size: 3, 0.20000000298023224, 31
[Line 28172] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Farmland.Part | Size: 3, 0.20000000298023224, 31
[Line 28173] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Barrels.Barrel | Size: 4, 5, 4
[Line 28174] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Hut.Part | Size: 10, 0.5, 0.4000000059604645
[Line 28175] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Hut.Rushes | Size: 15, 5.790446758270264, 1
[Line 28176] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Hut.Rushes | Size: 15, 5.791046142578125, 1
[Line 28177] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Hut.Rushes | Size: 15, 5.7923479080200195, 1
[Line 28178] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Hut.Part | Size: 10, 5, 0.4000000059604645
[Line 28179] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Hut.Rushes | Size: 15, 5.788719177246094, 1
[Line 28180] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Hut.Rushes | Size: 15, 5.7948102951049805, 1
[Line 28181] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Hut.Part | Size: 10, 5, 0.4000000059604645
[Line 28182] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Hut.Rushes | Size: 15, 5.7916107177734375, 1
[Line 28183] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Hut.Part | Size: 10, 5, 0.4000000059604645
[Line 28184] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Hut.Part | Size: 10, 5, 0.4000000059604645
[Line 28185] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Dock.Part | Size: 20, 14, 1
[Line 28186] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.LouisFarm.Dock.Part | Size: 21, 2, 1
[Line 28250] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.RFWheat3.Part | Size: 75, 3, 126
[Line 28251] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.SkyPicnic.Part6 | Size: 3.3767619132995605, 0.5819858908653259, 2.4602854251861572
[Line 28252] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.SkyPicnic.Part | Size: 12, 0.09999999403953552, 12
[Line 28253] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.SkyPicnic.Part4 | Size: 1.8271677494049072, 0.36516979336738586, 1.6912609338760376
[Line 28272] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Objects.ArimaChart | Size: 0.20000000298023224, 0.20000000298023224, 0.20000000298023224
[Line 28273] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Enemies.Cernyx.LowerTorso | Size: 1.695472002029419, 0.37130308151245117, 1.1221600770950317
[Line 28274] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Enemies.Cernyx.LeftUpperArm | Size: 0.844642162322998, 1.232274055480957, 0.8592720031738281
[Line 28275] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Enemies.Cernyx.Hair1 | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 28276] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Enemies.Cernyx.RightUpperLeg | Size: 0.7520830035209656, 1.2400059700012207, 0.855384111404419
[Line 28277] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Enemies.Cernyx.RightUpperArm | Size: 0.844642162322998, 1.2322739362716675, 0.8592722415924072
[Line 28278] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Enemies.Cernyx.LeftLowerArm | Size: 0.716312050819397, 0.9501485228538513, 0.7139627933502197
[Line 28279] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Enemies.Cernyx.Waist | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 28280] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Enemies.Cernyx.Amulet | Size: 0.05000000074505806, 0.05000000074505806, 0.05000000074505806
[Line 28281] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Enemies.Cernyx.RightHand | Size: 0.5192210674285889, 0.5368251800537109, 0.5368160009384155
[Line 28282] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Enemies.Cernyx.LeftFoot | Size: 0.682000994682312, 0.38071978092193604, 1.0930230617523193
[Line 28283] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Enemies.Cernyx.RightLowerLeg | Size: 0.7242990136146545, 0.979966938495636, 0.8668659925460815
[Line 28284] [Output:5553]: [PART] ReplicatedStorage.RS.Quest.Enemies.Ormolu.Ormolu | Size: 96.67745971679688, 62.44801330566406, 26.29651641845703
[Line 28287] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Kraken Tentacle2.Extension | Size: 22.738452911376953, 112.85965728759766, 21.44282341003418
[Line 28288] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Shark | Size: 20.955062866210938, 7.6249542236328125, 8.681510925292969
[Line 28289] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Shark.Hitbox | Size: 13, 4, 3.5
[Line 28290] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Shark.Mouth | Size: 3, 2, 3.5
[Line 28291] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Tiger Shark | Size: 34.199729919433594, 10.624955177307129, 12.097208976745605
[Line 28292] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Tiger Shark.Mouth | Size: 4.180335521697998, 2.7868902683258057, 4.877058029174805
[Line 28293] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Tiger Shark.Hitbox | Size: 21.11478614807129, 5.573780536651611, 4.877058029174805
[Line 28294] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Great White Shark | Size: 48.566200256347656, 19.624956130981445, 22.34429931640625
[Line 28295] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Megalodon.Hitbox | Size: 52.94258117675781, 15.60065746307373, 14.7755765914917
[Line 28296] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Lurker | Size: 37.199729919433594, 16.624956130981445, 20.09720802307129
[Line 28297] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Lurker.Hitbox | Size: 23.11478614807129, 7.573780536651611, 8.877058029174805
[Line 28298] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.White Eyes.Hitbox | Size: 142.71351623535156, 59.9564094543457, 50.15567398071289
[Line 28299] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.White Eyes.LEye | Size: 3.5, 3.5, 3.5
[Line 28300] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Poison Jaws | Size: 20.955062866210938, 7.6249542236328125, 8.681510925292969
[Line 28301] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Poison Jaws.Hitbox | Size: 13, 4, 3.5
[Line 28302] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Poison Jaws.Mouth | Size: 3, 2, 3.5
[Line 28303] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Alpha White Eyes | Size: 1461.248046875, 571.7252807617188, 661.0156860351562
[Line 28304] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Alpha White Eyes.Mouth | Size: 187.13888549804688, 177.43736267089844, 218.32870483398438
[Line 28305] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Alpha White Eyes.Hitbox | Size: 718.488525390625, 301.8493957519531, 252.50778198242188
[Line 28306] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Alpha White Eyes.LEye | Size: 17.620681762695312, 17.620681762695312, 17.620681762695312
[Line 28307] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.ObolusBackup | Size: 97.14253234863281, 97.76577758789062, 162.58059692382812
[Line 28308] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.ObolusBackup.Glowball | Size: 11.781074523925781, 13.966118812561035, 13.445974349975586
[Line 28309] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.ObolusBackup.BackbodyWeld | Size: 1, 1, 1
[Line 28310] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.ObolusBackup.LowerBodyWeld | Size: 1, 1, 1
[Line 28311] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.ObolusBackup.Lureweld | Size: 1, 1, 1
[Line 28312] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.ObolusBackup.RightEye | Size: 6.419608116149902, 8.84999942779541, 8.316558837890625
[Line 28313] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.ObolusBackup.RigWeldLeftE | Size: 0.10000000149011612, 0.10000000149011612, 0.10000000149011612
[Line 28314] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.ObolusBackup.RigWeldRightE | Size: 0.10000000149011612, 0.10000000149011612, 0.10000000149011612
[Line 28315] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.ObolusBackup.LeftEye | Size: 8.874418258666992, 9.448141098022461, 10.178970336914062
[Line 28316] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.ObolusBackup.Mouth | Size: 12.171432495117188, 32.634830474853516, 43.366676330566406
[Line 28317] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Obolus | Size: 97.14253234863281, 97.76577758789062, 162.58059692382812
[Line 28318] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Obolus.Glowball | Size: 11.781074523925781, 13.966118812561035, 13.445974349975586
[Line 28319] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Obolus.BackbodyWeld | Size: 1, 1, 1
[Line 28320] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Obolus.Lureweld | Size: 1, 1, 1
[Line 28321] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Obolus.UpperBodyWeld | Size: 1, 1, 1
[Line 28322] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Obolus.RightEye | Size: 6.419608116149902, 8.84999942779541, 8.316558837890625
[Line 28323] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Obolus.LeftEye | Size: 8.874418258666992, 9.448141098022461, 10.178970336914062
[Line 28324] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Cachalot.Hitbox | Size: 128.34259033203125, 21.80000114440918, 22.97557830810547
[Line 28325] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Blue Whale.Hitbox | Size: 58.34259033203125, 53.80000305175781, 247.9755859375
[Line 28326] [Output:5553]: [PART] ReplicatedStorage.RS.Modules.Sharks.Kraken Tentacle | Size: 22.738452911376953, 317.1995544433594, 21.442806243896484
