[Line 385] [Output:5553]: [PART] Workspace.Map.IslandCloud.Fragmentable.Tallgrass.TallGrass | Size: 42, 3, 88
[Line 77452] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 40, 78
[Line 77453] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 112, 1, 122
[Line 77454] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2.9999923706054688, 6, 0.25
[Line 77455] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.FakeDoor | Size: 13, 0.5, 7
[Line 77456] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 46, 4
[Line 77457] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4.5, 13, 1
[Line 77458] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2, 39, 2
[Line 77459] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2, 39, 2
[Line 77460] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 303, 4
[Line 77461] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2, 39, 2
[Line 77462] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2.9999923706054688, 6, 0.25
[Line 77463] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2.9999923706054688, 6, 0.25
[Line 77464] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 320, 6, 1
[Line 77465] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 7, 197
[Line 77466] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.FakeDoor | Size: 13, 0.5, 7
[Line 77467] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 40, 160
[Line 77468] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 26, 0.19999998807907104, 201
[Line 77469] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2, 39, 2
[Line 77470] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2, 85, 2
[Line 77471] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2, 39, 2
[Line 77472] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4.5, 13, 1
[Line 77473] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 14, 16
[Line 77474] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 7.00006103515625, 116
[Line 77475] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 14, 16
[Line 77476] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 14, 16
[Line 77477] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 40, 4
[Line 77478] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 14, 7
[Line 77479] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 113, 4, 1
[Line 77480] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 116, 6, 1
[Line 77481] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 26, 4
[Line 77482] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 10, 3, 3
[Line 77483] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 10, 3, 3
[Line 77484] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 214, 26, 70
[Line 77485] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 197, 6, 1
[Line 77486] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4.5, 1, 16
[Line 77487] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2, 39, 2
[Line 77488] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 31, 3, 1
[Line 77489] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 40, 4
[Line 77490] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2, 39, 2
[Line 77491] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 14, 12
[Line 77492] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 10, 3, 3
[Line 77493] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 7, 7, 2
[Line 77494] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 7, 18
[Line 77495] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 85, 4
[Line 77496] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 85, 4
[Line 77497] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4.099999904632568, 6, 9
[Line 77498] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 81, 31, 64
[Line 77499] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 26, 4
[Line 77500] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 10, 3, 3
[Line 77501] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 56, 7, 3
[Line 77502] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2.9999923706054688, 6, 0.25
[Line 77503] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 79, 4, 1
[Line 77504] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2, 39, 2
[Line 77505] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4.099999904632568, 6, 9
[Line 77506] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 26, 4
[Line 77507] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 4, 40, 321
[Line 77508] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Staircase.Part | Size: 42, 7, 2
[Line 77509] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Staircase.Part | Size: 4, 36, 7
[Line 77510] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Staircase.Part | Size: 47, 7, 5
[Line 77511] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Staircase.Part | Size: 4, 36, 4
[Line 77512] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Staircase.Part | Size: 42, 32, 55
[Line 77513] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Staircase.Part | Size: 4, 36, 4
[Line 77514] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Staircase.Part | Size: 8, 7, 2
[Line 77515] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Staircase.Part | Size: 22, 28, 67
[Line 77516] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.AcaciaTree.Leaves | Size: 50.345340728759766, 25.39924430847168, 48.07734680175781
[Line 77517] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Gate.Part | Size: 0.5, 53, 1
[Line 77518] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Gate.Part | Size: 1, 0.9999923706054688, 40
[Line 77519] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Gate.Part | Size: 0.5, 53, 1
[Line 77520] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Gate.Part | Size: 1, 0.9999923706054688, 40
[Line 77521] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Gate.Part | Size: 0.5, 53, 1
[Line 77522] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Gate.Part | Size: 1, 4.999992370605469, 40
[Line 77523] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Gate.Part | Size: 1, 0.9999923706054688, 40
[Line 77524] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Gate.Part | Size: 0.5, 53, 1
[Line 77525] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Gate.Part | Size: 0.5, 53, 1
[Line 77526] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 2.9999771118164062, 0.5, 0.5
[Line 77527] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 2.9999771118164062, 0.5, 0.5
[Line 77528] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 2.9999771118164062, 0.5, 0.5
[Line 77529] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 2.9999771118164062, 0.5, 0.5
[Line 77530] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 2.9999771118164062, 0.5, 0.5
[Line 77531] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 2.9999771118164062, 0.5, 0.5
[Line 77532] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 22, 0.49997711181640625, 0.5
[Line 77533] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 2.9999771118164062, 0.5, 0.5
[Line 77534] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Fire.Part | Size: 4.6875, 0.9375, 0.9375
[Line 77535] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Fire.Part | Size: 7.5, 1.875, 1.875
[Line 77536] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Fire.FirePart | Size: 10.125, 7.5, 10.125
[Line 77537] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Fire.a | Size: 7.5, 1.875, 1.875
[Line 77538] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Fire.Part | Size: 7.5, 1.875, 1.875
[Line 77539] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 14, 15, 14
[Line 77540] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 5, 1, 6
[Line 77541] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 42, 7, 3
[Line 77542] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 8, 3, 3
[Line 77543] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 5, 3, 3
[Line 77544] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 6, 3, 2
[Line 77545] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 8, 3, 3
[Line 77546] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 3, 217, 3
[Line 77547] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 5, 3, 3
[Line 77548] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 32, 5, 2
[Line 77549] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 36, 5, 2
[Line 77550] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 15, 19, 2
[Line 77551] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 5, 3, 3
[Line 77552] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 15, 19, 2
[Line 77553] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 10, 1, 5
[Line 77554] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Battlement.Part | Size: 10, 3, 3
[Line 77555] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Battlement.Part | Size: 10, 3, 3
[Line 77556] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Battlement.Part | Size: 10, 3, 3
[Line 77557] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Battlement.Part | Size: 10, 3, 3
[Line 77558] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Battlement.Part | Size: 10, 3, 3
[Line 77559] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Battlement.Part | Size: 10, 3, 3
[Line 77560] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Battlement.Part | Size: 10, 3, 3
[Line 77561] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Battlement.Part | Size: 10, 3, 3
[Line 77562] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Battlement.Part | Size: 10, 3, 3
[Line 77563] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Battlement.Part | Size: 10, 3, 3
[Line 77564] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Battlement.Part | Size: 10, 3, 3
[Line 77565] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Battlement.Part | Size: 10, 3, 3
[Line 77566] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Battlement.Part | Size: 61, 7, 3
[Line 77567] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 2.9999771118164062, 0.5, 0.5
[Line 77568] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 2.9999771118164062, 0.5, 0.5
[Line 77569] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 22, 0.49997711181640625, 0.5
[Line 77570] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 2.9999771118164062, 0.5, 0.5
[Line 77571] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 2.9999771118164062, 0.5, 0.5
[Line 77572] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 2.9999771118164062, 0.5, 0.5
[Line 77573] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Ladder.Part | Size: 2.9999771118164062, 0.5, 0.5
[Line 77574] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Fire.Part | Size: 9.375, 1.875, 1.875
[Line 77575] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Fire.Part | Size: 7.5, 1.875, 1.875
[Line 77576] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Fire.Part | Size: 6.5625, 0.9375, 0.9375
[Line 77577] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Fire.FirePart | Size: 10.125, 7.5, 10.125
[Line 77578] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Fire.Part | Size: 4.6875, 0.9375, 0.9375
[Line 77579] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 6, 3, 2
[Line 77580] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 8, 3, 3
[Line 77581] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 8, 3, 3
[Line 77582] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 6, 3, 2
[Line 77583] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 6, 10, 2
[Line 77584] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 5, 3, 3
[Line 77585] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 36, 7, 3
[Line 77586] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 42, 7, 3
[Line 77587] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 3, 217, 3
[Line 77588] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Tower.Part | Size: 16, 11, 2
[Line 77589] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.AcaciaTree.Leaves | Size: 50.345340728759766, 25.39924430847168, 48.07734680175781
[Line 77590] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.AcaciaTree.Trunk | Size: 13.036556243896484, 27.61204719543457, 10.00780200958252
[Line 77591] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.AcaciaTree.Leaves | Size: 50.345340728759766, 25.39924430847168, 48.07734680175781
[Line 77592] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.WoodPile.Fragmentable | Size: 0.4000000059604645, 7.151301860809326, 0.4000000059604645
[Line 77593] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.WoodPile.Fragmentable | Size: 25, 1, 14
[Line 77594] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.WoodPile.Fragmentable | Size: 0.4000000059604645, 2, 0.4000000059604645
[Line 77595] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.WoodPile.Fragmentable | Size: 0.4000000059604645, 1.2088745832443237, 0.4000000059604645
[Line 77596] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.WoodPile.Fragmentable | Size: 0.4000000059604645, 7.151301860809326, 0.4000000059604645
[Line 77597] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.WoodPile.Fragmentable | Size: 25, 1, 10
[Line 77598] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Plant.Part | Size: 16.999996185302734, 3, 4
[Line 77599] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Plant.Part | Size: 15.999999046325684, 5, 3
[Line 77600] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Plant.Part | Size: 3.9999961853027344, 3, 33
[Line 77601] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Plant.Part | Size: 3, 5, 3
[Line 77602] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Plant.Part | Size: 3.9999961853027344, 3, 4
[Line 77603] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.LargeWindow.Part | Size: 2, 25, 1
[Line 77604] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.LargeWindow.Part | Size: 1.2000000476837158, 0.5, 8
[Line 77605] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.LargeWindow.Part | Size: 0.5, 25, 8
[Line 77606] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.LargeWindow.Part | Size: 2, 1, 10
[Line 77607] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.LargeWindow.Part | Size: 2, 25, 1
[Line 77608] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.LargeWindow.Part | Size: 1.2000000476837158, 0.5, 8
[Line 77609] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.SmallBanner.Part | Size: 10, 16, 0.20000000298023224
[Line 77610] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.CrateGroup.Crate | Size: 3.799999952316284, 3.799999952316284, 3.799999952316284
[Line 77611] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2.0999999046325684, 0.5, 1
[Line 77612] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 21, 1, 1.5
[Line 77613] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 21, 1, 1.5
[Line 77614] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 21, 1, 1.5
[Line 77615] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Light | Size: 0.5859176516532898, 0.5859176516532898, 0.2929588258266449
[Line 77616] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 2.0999999046325684, 0.5, 1
[Line 77617] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Coals | Size: 0.7323970794677734, 0.7323970794677734, 0.29302141070365906
[Line 77618] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 0.5, 78, 21
[Line 77619] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 1, 78, 2
[Line 77620] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 23, 1, 2
[Line 77621] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 1, 78, 2
[Line 77622] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 1, 78, 2
[Line 77623] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 1, 78, 2
[Line 77624] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 21, 1, 1.5
[Line 77625] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 23, 1, 2
[Line 77626] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.Model.Part | Size: 21, 1, 1.5
[Line 77627] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.SmallBanner.Part | Size: 10, 16, 0.20000000298023224
[Line 77628] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.BannerFlag.Part | Size: 5.052631855010986, 2.526315927505493, 5.052424430847168
[Line 77629] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.BannerFlag.Part | Size: 2.526315927505493, 16.421052932739258, 2.526108741760254
[Line 77630] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.Ravenna.RavennaCastello.BannerFlag.Part | Size: 25.263158798217773, 15.157894134521484, 0.25263160467147827
